2025-05-26 18:16:24 | RagClient | INFO | __init__:27 | Initializing Azure RAG Client...
2025-05-26 18:36:11 | RagClient | INFO | search_documents:120 | Searching documents for query: 'Whats the best hotel' (top_k=3)
2025-05-26 18:37:28 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:37:37 | RagClient | INFO | interactive_mode:315 | Interactive query: 'What's the best hotel in New York'
2025-05-26 18:37:37 | RagClient | INFO | ask:232 | Processing RAG query: 'What's the best hotel in New York'
2025-05-26 18:37:37 | RagClient | INFO | search_documents:120 | Searching documents for query: 'What's the best hotel in New York' (top_k=3)
2025-05-26 18:38:32 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:38:42 | RagClient | INFO | interactive_mode:315 | Interactive query: 'What's the best hotel in new york?'
2025-05-26 18:38:42 | RagClient | INFO | ask:232 | Processing RAG query: 'What's the best hotel in new york?'
2025-05-26 18:38:42 | RagClient | INFO | search_documents:120 | Searching documents for query: 'What's the best hotel in new york?' (top_k=3)
2025-05-26 18:40:25 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:40:32 | RagClient | INFO | interactive_mode:315 | Interactive query: 'Whats the best hotel in new york'
2025-05-26 18:40:32 | RagClient | INFO | ask:232 | Processing RAG query: 'Whats the best hotel in new york'
2025-05-26 18:40:32 | RagClient | INFO | search_documents:120 | Searching documents for query: 'Whats the best hotel in new york' (top_k=3)
2025-05-26 18:42:57 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:43:00 | RagClient | INFO | interactive_mode:314 | Interactive query: 'test'
2025-05-26 18:43:00 | RagClient | INFO | ask:231 | Processing RAG query: 'test'
2025-05-26 18:43:00 | RagClient | INFO | search_documents:119 | Searching documents for query: 'test' (top_k=3)
2025-05-26 18:44:14 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:44:20 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:44:48 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:45:43 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:45:50 | RagClient | INFO | interactive_mode:314 | Interactive query: 'test'
2025-05-26 18:45:50 | RagClient | INFO | ask:231 | Processing RAG query: 'test'
2025-05-26 18:45:50 | RagClient | INFO | search_documents:119 | Searching documents for query: 'test' (top_k=3)
2025-05-26 18:46:25 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:46:28 | RagClient | INFO | interactive_mode:314 | Interactive query: 'test'
2025-05-26 18:46:28 | RagClient | INFO | ask:231 | Processing RAG query: 'test'
2025-05-26 18:46:28 | RagClient | INFO | search_documents:119 | Searching documents for query: 'test' (top_k=3)
2025-05-26 18:46:56 | RagClient | INFO | interactive_mode:314 | Interactive query: 'test'
2025-05-26 18:47:05 | RagClient | INFO | ask:231 | Processing RAG query: 'test'
2025-05-26 18:47:06 | RagClient | INFO | search_documents:119 | Searching documents for query: 'test' (top_k=3)
2025-05-26 18:54:17 | RagClient | INFO | interactive_mode:314 | Interactive query: 'exit()'
2025-05-26 18:54:17 | RagClient | INFO | ask:231 | Processing RAG query: 'exit()'
2025-05-26 18:54:17 | RagClient | INFO | search_documents:119 | Searching documents for query: 'exit()' (top_k=3)
2025-05-26 18:54:33 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:54:36 | RagClient | INFO | interactive_mode:314 | Interactive query: 'test'
2025-05-26 18:54:36 | RagClient | INFO | ask:231 | Processing RAG query: 'test'
2025-05-26 18:54:36 | RagClient | INFO | search_documents:119 | Searching documents for query: 'test' (top_k=3)
2025-05-26 18:55:18 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:55:21 | RagClient | INFO | interactive_mode:314 | Interactive query: 'test'
2025-05-26 18:55:21 | RagClient | INFO | ask:231 | Processing RAG query: 'test'
2025-05-26 18:55:21 | RagClient | INFO | search_documents:119 | Searching documents for query: 'test' (top_k=3)
2025-05-26 18:57:04 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:57:05 | RagClient | INFO | interactive_mode:315 | Interactive query: 'test'
2025-05-26 18:57:05 | RagClient | INFO | ask:232 | Processing RAG query: 'test'
2025-05-26 18:57:05 | RagClient | INFO | search_documents:120 | Searching documents for query: 'test' (top_k=3)
2025-05-26 18:59:37 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 18:59:46 | RagClient | INFO | interactive_mode:315 | Interactive query: 'What's the best hotel in new york'
2025-05-26 18:59:46 | RagClient | INFO | ask:232 | Processing RAG query: 'What's the best hotel in new york'
2025-05-26 18:59:46 | RagClient | INFO | search_documents:120 | Searching documents for query: 'What's the best hotel in new york' (top_k=3)
2025-05-26 18:59:46 | RagClient | DEBUG | generate_embeddings:105 | Embeddings generated successfully
2025-05-26 18:59:46 | RagClient | INFO | search_documents:130 | Query embeddings generated successfully: 1536 dimensions
2025-05-26 19:02:14 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 19:02:16 | RagClient | INFO | interactive_mode:315 | Interactive query: 'test'
2025-05-26 19:02:16 | RagClient | INFO | ask:232 | Processing RAG query: 'test'
2025-05-26 19:02:16 | RagClient | INFO | search_documents:120 | Searching documents for query: 'test' (top_k=3)
2025-05-26 19:02:17 | RagClient | DEBUG | generate_embeddings:105 | Embeddings generated successfully
2025-05-26 19:02:17 | RagClient | INFO | search_documents:130 | Query embeddings generated successfully: 1536 dimensions
2025-05-26 19:06:19 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 19:06:22 | RagClient | INFO | interactive_mode:319 | Interactive query: 'test'
2025-05-26 19:06:22 | RagClient | INFO | ask:236 | Processing RAG query: 'test'
2025-05-26 19:06:22 | RagClient | INFO | search_documents:120 | Searching documents for query: 'test' (top_k=3)
2025-05-26 19:06:22 | RagClient | DEBUG | generate_embeddings:105 | Embeddings generated successfully
2025-05-26 19:06:22 | RagClient | INFO | search_documents:130 | Query embeddings generated successfully: 1536 dimensions
2025-05-26 19:08:23 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 19:08:25 | RagClient | INFO | interactive_mode:319 | Interactive query: 'test'
2025-05-26 19:08:25 | RagClient | INFO | ask:236 | Processing RAG query: 'test'
2025-05-26 19:08:25 | RagClient | INFO | search_documents:120 | Searching documents for query: 'test' (top_k=3)
2025-05-26 19:08:25 | RagClient | DEBUG | generate_embeddings:105 | Embeddings generated successfully
2025-05-26 19:08:25 | RagClient | INFO | search_documents:130 | Query embeddings generated successfully: 1536 dimensions
2025-05-26 19:08:26 | RagClient | INFO | search_documents:162 | Retrieved 3 documents
2025-05-26 19:08:26 | RagClient | DEBUG | search_documents:164 | Document 1:  (score: 0.017)
2025-05-26 19:08:26 | RagClient | DEBUG | search_documents:164 | Document 2:  (score: 0.016)
2025-05-26 19:08:26 | RagClient | DEBUG | search_documents:164 | Document 3:  (score: 0.016)
2025-05-26 19:08:26 | RagClient | INFO | ask:250 | Found 3 relevant documents
2025-05-26 19:08:26 | RagClient | INFO | create_rag_prompt:203 | Creating RAG prompt for query: 'test' with 3 context documents
2025-05-26 19:08:26 | RagClient | DEBUG | generate_response:212 | Generating response from Azure OpenAI
2025-05-26 19:09:22 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 19:09:34 | RagClient | INFO | interactive_mode:320 | Interactive query: 'What's the best hotel in New York/'
2025-05-26 19:09:34 | RagClient | INFO | ask:237 | Processing RAG query: 'What's the best hotel in New York/'
2025-05-26 19:09:34 | RagClient | INFO | search_documents:120 | Searching documents for query: 'What's the best hotel in New York/' (top_k=3)
2025-05-26 19:09:35 | RagClient | DEBUG | generate_embeddings:105 | Embeddings generated successfully
2025-05-26 19:09:35 | RagClient | INFO | search_documents:130 | Query embeddings generated successfully: 1536 dimensions
2025-05-26 19:09:35 | RagClient | INFO | search_documents:162 | Retrieved 3 documents
2025-05-26 19:09:35 | RagClient | DEBUG | search_documents:164 | Document 1:  (score: 0.033)
2025-05-26 19:09:35 | RagClient | DEBUG | search_documents:164 | Document 2:  (score: 0.032)
2025-05-26 19:09:35 | RagClient | DEBUG | search_documents:164 | Document 3:  (score: 0.032)
2025-05-26 19:09:35 | RagClient | INFO | ask:251 | Found 3 relevant documents
2025-05-26 19:09:35 | RagClient | INFO | create_rag_prompt:203 | Creating RAG prompt for query: 'What's the best hotel in New York/' with 3 context documents
2025-05-26 19:09:35 | RagClient | DEBUG | generate_response:212 | Generating response from Azure OpenAI
2025-05-26 19:09:46 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 19:09:56 | RagClient | INFO | interactive_mode:320 | Interactive query: 'What's the best hotel in new york?'
2025-05-26 19:09:56 | RagClient | INFO | ask:237 | Processing RAG query: 'What's the best hotel in new york?'
2025-05-26 19:09:56 | RagClient | INFO | search_documents:120 | Searching documents for query: 'What's the best hotel in new york?' (top_k=3)
2025-05-26 19:09:56 | RagClient | DEBUG | generate_embeddings:105 | Embeddings generated successfully
2025-05-26 19:09:56 | RagClient | INFO | search_documents:130 | Query embeddings generated successfully: 1536 dimensions
2025-05-26 19:09:57 | RagClient | INFO | search_documents:162 | Retrieved 3 documents
2025-05-26 19:09:57 | RagClient | DEBUG | search_documents:164 | Document 1:  (score: 0.033)
2025-05-26 19:09:57 | RagClient | DEBUG | search_documents:164 | Document 2:  (score: 0.033)
2025-05-26 19:09:57 | RagClient | DEBUG | search_documents:164 | Document 3:  (score: 0.032)
2025-05-26 19:09:57 | RagClient | INFO | ask:251 | Found 3 relevant documents
2025-05-26 19:09:57 | RagClient | INFO | create_rag_prompt:203 | Creating RAG prompt for query: 'What's the best hotel in new york?' with 3 context documents
2025-05-26 19:09:57 | RagClient | DEBUG | generate_response:212 | Generating response from Azure OpenAI
2025-05-26 19:10:50 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 19:11:08 | RagClient | INFO | interactive_mode:320 | Interactive query: 'What's the funniest sounding hotel in New York? In your opinion'
2025-05-26 19:11:08 | RagClient | INFO | ask:237 | Processing RAG query: 'What's the funniest sounding hotel in New York? In your opinion'
2025-05-26 19:11:08 | RagClient | INFO | search_documents:120 | Searching documents for query: 'What's the funniest sounding hotel in New York? In your opinion' (top_k=3)
2025-05-26 19:11:08 | RagClient | DEBUG | generate_embeddings:105 | Embeddings generated successfully
2025-05-26 19:11:08 | RagClient | INFO | search_documents:130 | Query embeddings generated successfully: 1536 dimensions
2025-05-26 19:11:09 | RagClient | INFO | search_documents:162 | Retrieved 3 documents
2025-05-26 19:11:09 | RagClient | DEBUG | search_documents:164 | Document 1:  (score: 0.033)
2025-05-26 19:11:09 | RagClient | DEBUG | search_documents:164 | Document 2:  (score: 0.032)
2025-05-26 19:11:09 | RagClient | DEBUG | search_documents:164 | Document 3:  (score: 0.032)
2025-05-26 19:11:09 | RagClient | INFO | ask:251 | Found 3 relevant documents
2025-05-26 19:11:09 | RagClient | INFO | create_rag_prompt:203 | Creating RAG prompt for query: 'What's the funniest sounding hotel in New York? In your opinion' with 3 context documents
2025-05-26 19:11:09 | RagClient | DEBUG | generate_response:212 | Generating response from Azure OpenAI
2025-05-26 19:11:10 | RagClient | INFO | generate_response:225 | Generated response (300 chars)
2025-05-26 19:11:10 | RagClient | INFO | ask:286 | RAG query completed successfully with 3 sources
2025-05-26 19:13:13 | RagClient | INFO | interactive_mode:320 | Interactive query: 'List every hotel name in the offer in the alphabetical order please.'
2025-05-26 19:13:13 | RagClient | INFO | ask:237 | Processing RAG query: 'List every hotel name in the offer in the alphabetical order please.'
2025-05-26 19:13:13 | RagClient | INFO | search_documents:120 | Searching documents for query: 'List every hotel name in the offer in the alphabetical order please.' (top_k=3)
2025-05-26 19:13:13 | RagClient | DEBUG | generate_embeddings:105 | Embeddings generated successfully
2025-05-26 19:13:13 | RagClient | INFO | search_documents:130 | Query embeddings generated successfully: 1536 dimensions
2025-05-26 19:13:29 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-26 19:13:55 | RagClient | INFO | interactive_mode:320 | Interactive query: 'Order all hotel names alphabetically please'
2025-05-26 19:13:55 | RagClient | INFO | ask:237 | Processing RAG query: 'Order all hotel names alphabetically please'
2025-05-26 19:13:55 | RagClient | INFO | search_documents:120 | Searching documents for query: 'Order all hotel names alphabetically please' (top_k=3)
2025-05-26 19:13:56 | RagClient | DEBUG | generate_embeddings:105 | Embeddings generated successfully
2025-05-26 19:13:56 | RagClient | INFO | search_documents:130 | Query embeddings generated successfully: 1536 dimensions
2025-05-26 19:13:56 | RagClient | INFO | search_documents:162 | Retrieved 3 documents
2025-05-26 19:13:56 | RagClient | DEBUG | search_documents:164 | Document 1:  (score: 0.033)
2025-05-26 19:13:56 | RagClient | DEBUG | search_documents:164 | Document 2:  (score: 0.033)
2025-05-26 19:13:56 | RagClient | DEBUG | search_documents:164 | Document 3:  (score: 0.017)
2025-05-26 19:13:56 | RagClient | INFO | ask:251 | Found 3 relevant documents
2025-05-26 19:13:56 | RagClient | INFO | create_rag_prompt:203 | Creating RAG prompt for query: 'Order all hotel names alphabetically please' with 3 context documents
2025-05-26 19:13:56 | RagClient | DEBUG | generate_response:212 | Generating response from Azure OpenAI
2025-05-26 19:13:57 | RagClient | INFO | generate_response:225 | Generated response (293 chars)
2025-05-26 19:13:57 | RagClient | INFO | ask:286 | RAG query completed successfully with 3 sources
2025-05-27 13:23:48 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-27 13:23:48 | RagClient | INFO | __init__:51 | Azure RAG Client initialized successfully
2025-05-27 13:24:19 | RagClient | INFO | interactive_mode:425 | Interactive query: 'What destinations can i see?'
2025-05-27 13:24:19 | RagClient | INFO | ask:319 | Processing RAG query: 'What destinations can i see?'
2025-05-27 13:24:19 | RagClient | INFO | search_documents:202 | Searching documents for query: 'What destinations can i see?' (top_k=3)
2025-05-27 13:24:20 | RagClient | DEBUG | generate_embeddings:187 | Embeddings generated successfully
2025-05-27 13:24:20 | RagClient | INFO | search_documents:212 | Query embeddings generated successfully: 1536 dimensions
2025-05-27 13:24:22 | RagClient | INFO | search_documents:244 | Retrieved 3 documents
2025-05-27 13:24:22 | RagClient | DEBUG | search_documents:246 | Document 1:  (score: 0.033)
2025-05-27 13:24:22 | RagClient | DEBUG | search_documents:246 | Document 2:  (score: 0.033)
2025-05-27 13:24:22 | RagClient | DEBUG | search_documents:246 | Document 3:  (score: 0.016)
2025-05-27 13:24:22 | RagClient | INFO | ask:344 | Found 3 relevant documents
2025-05-27 13:24:22 | RagClient | INFO | create_rag_prompt:285 | Creating RAG prompt for query: 'What destinations can i see?' with 3 context documents
2025-05-27 13:24:22 | RagClient | DEBUG | generate_response:294 | Generating response from Azure OpenAI
2025-05-27 13:24:23 | RagClient | INFO | generate_response:307 | Generated response (222 chars)
2025-05-27 13:25:10 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-27 13:25:10 | RagClient | INFO | __init__:51 | Azure RAG Client initialized successfully
2025-05-27 13:25:15 | RagClient | INFO | interactive_mode:425 | Interactive query: 'what destination can i see?'
2025-05-27 13:25:15 | RagClient | INFO | ask:319 | Processing RAG query: 'what destination can i see?'
2025-05-27 13:25:15 | RagClient | INFO | search_documents:202 | Searching documents for query: 'what destination can i see?' (top_k=3)
2025-05-27 13:25:16 | RagClient | DEBUG | generate_embeddings:187 | Embeddings generated successfully
2025-05-27 13:25:16 | RagClient | INFO | search_documents:212 | Query embeddings generated successfully: 1536 dimensions
2025-05-27 13:25:16 | RagClient | INFO | search_documents:244 | Retrieved 3 documents
2025-05-27 13:25:16 | RagClient | DEBUG | search_documents:246 | Document 1:  (score: 0.033)
2025-05-27 13:25:16 | RagClient | DEBUG | search_documents:246 | Document 2:  (score: 0.033)
2025-05-27 13:25:16 | RagClient | DEBUG | search_documents:246 | Document 3:  (score: 0.016)
2025-05-27 13:25:16 | RagClient | INFO | ask:344 | Found 3 relevant documents
2025-05-27 13:25:16 | RagClient | INFO | create_rag_prompt:285 | Creating RAG prompt for query: 'what destination can i see?' with 3 context documents
2025-05-27 13:25:16 | RagClient | DEBUG | generate_response:294 | Generating response from Azure OpenAI
2025-05-27 13:25:17 | RagClient | INFO | generate_response:307 | Generated response (210 chars)
2025-05-27 13:26:29 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-27 13:26:29 | RagClient | INFO | __init__:51 | Azure RAG Client initialized successfully
2025-05-27 13:26:35 | RagClient | INFO | interactive_mode:425 | Interactive query: 'what destinations can i see?'
2025-05-27 13:26:35 | RagClient | INFO | ask:319 | Processing RAG query: 'what destinations can i see?'
2025-05-27 13:26:35 | RagClient | INFO | search_documents:202 | Searching documents for query: 'what destinations can i see?' (top_k=3)
2025-05-27 13:26:36 | RagClient | DEBUG | generate_embeddings:187 | Embeddings generated successfully
2025-05-27 13:26:36 | RagClient | INFO | search_documents:212 | Query embeddings generated successfully: 1536 dimensions
2025-05-27 13:26:37 | RagClient | INFO | search_documents:244 | Retrieved 3 documents
2025-05-27 13:26:37 | RagClient | DEBUG | search_documents:246 | Document 1:  (score: 0.033)
2025-05-27 13:26:37 | RagClient | DEBUG | search_documents:246 | Document 2:  (score: 0.033)
2025-05-27 13:26:37 | RagClient | DEBUG | search_documents:246 | Document 3:  (score: 0.016)
2025-05-27 13:26:37 | RagClient | INFO | ask:344 | Found 3 relevant documents
2025-05-27 13:26:37 | RagClient | INFO | create_rag_prompt:285 | Creating RAG prompt for query: 'what destinations can i see?' with 3 context documents
2025-05-27 13:26:37 | RagClient | DEBUG | generate_response:294 | Generating response from Azure OpenAI
2025-05-27 13:26:38 | RagClient | INFO | generate_response:307 | Generated response (343 chars)
2025-05-27 13:27:14 | RagClient | INFO | __init__:28 | Initializing Azure RAG Client...
2025-05-27 13:27:14 | RagClient | INFO | __init__:51 | Azure RAG Client initialized successfully
2025-05-27 13:27:18 | RagClient | INFO | interactive_mode:426 | Interactive query: 'What destination can i see?'
2025-05-27 13:27:18 | RagClient | INFO | ask:320 | Processing RAG query: 'What destination can i see?'
2025-05-27 13:27:18 | RagClient | INFO | search_documents:203 | Searching documents for query: 'What destination can i see?' (top_k=3)
2025-05-27 13:27:18 | RagClient | DEBUG | generate_embeddings:188 | Embeddings generated successfully
2025-05-27 13:27:18 | RagClient | INFO | search_documents:213 | Query embeddings generated successfully: 1536 dimensions
2025-05-27 13:27:19 | RagClient | INFO | search_documents:245 | Retrieved 3 documents
2025-05-27 13:27:19 | RagClient | DEBUG | search_documents:247 | Document 1:  (score: 0.033)
2025-05-27 13:27:19 | RagClient | DEBUG | search_documents:247 | Document 2:  (score: 0.033)
2025-05-27 13:27:19 | RagClient | DEBUG | search_documents:247 | Document 3:  (score: 0.016)
2025-05-27 13:27:19 | RagClient | INFO | ask:345 | Found 3 relevant documents
2025-05-27 13:27:19 | RagClient | INFO | create_rag_prompt:286 | Creating RAG prompt for query: 'What destination can i see?' with 3 context documents
2025-05-27 13:27:19 | RagClient | DEBUG | generate_response:295 | Generating response from Azure OpenAI
2025-05-27 13:27:20 | RagClient | INFO | generate_response:308 | Generated response (197 chars)
2025-05-27 13:27:20 | RagClient | INFO | _log_to_notebook:171 | Query logged to notebook: notebooks/queries.ipynb
2025-05-27 13:27:20 | RagClient | INFO | ask:392 | RAG query completed successfully with 3 sources
2025-05-27 13:27:20 | RagClient | INFO | interactive_mode:443 | Source 1:  - Margies Travel Company Info.pdf (Score: 0.033)
2025-05-27 13:27:20 | RagClient | INFO | interactive_mode:443 | Source 2:  - Dubai Brochure.pdf (Score: 0.033)
2025-05-27 13:27:20 | RagClient | INFO | interactive_mode:443 | Source 3:  - Las Vegas Brochure.pdf (Score: 0.016)
